"objectid","BLOCKFACE_ID","AREA_TYPE","PM_DISTRICT_ID","BLOCK_NUM","BLOCK_ID","STREET_ID","STREET_NAME","BLOCKFACE_ORIENTATION","STR_NUM_PARITY","STR_SEG_ORIENTATION","FM_ADDR_NO","TO_ADDR_NO","ENDPT1_LONGITUDE","ENDPT1_LATITUDE","ENDPT2_LONGITUDE","ENDPT2_LATITUDE","CREATED_DT","LAST_UPD_DT","LAST_UPD_USER","LAST_UPD_PGM","NEIGHBORHOOD_ID","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"1876479","651081",,"12","8","65108","651","SANSOME ST","W","Odd","L","801","899","-122.40214444","37.7976202","-122.40227821","37.79828606","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.402144438 37.797620197, -122.402278214 37.798286059)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","North Beach","3"
"1877800","571082",,"12","8","57108","571","MONTGOMERY ST","E","Even","R","800","898","-122.40347415","37.7965691","-122.4036039","37.79722692","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.40347415 37.796569101, -122.403603903 37.797226916)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1878068","386021","Pilot","1","2","38602","386","DRUMM ST","W","Odd","L","201","299","-122.39688645","37.79550859","-122.39704016","37.79625844","2011-02-11 02:57:05-08:00","2023-01-24 01:15:39-08:00","OpenGeoUser","OpenGeo - blockfaces.html","1","LINESTRING (-122.396886451 37.795508589, -122.397040156 37.79625844)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1878044","380052",,"12","5","38005","380","DAVIS ST","E","Even","R","500","698","-122.39828807","37.79725407","-122.39840978","37.79785757","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.398288071 37.797254074, -122.398409777 37.797857574)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1876582","606032","Pilot","1","3","60603","606","PINE ST","N","Even","R","300","398","-122.40110843","37.7921384","-122.40244418","37.79196842","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.401108429 37.792138403, -122.402444176 37.791968417)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1877700","600061",,"12","6","60006","600","PACIFIC AVE","S","Odd","L","631","699","-122.40576645","37.79699356","-122.40671696","37.79687689","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.405766445 37.796993563, -122.406716958 37.796876886)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1877067","490222",,"24","22","49022","490","IRVING ST","N","Even","R","2200","2298","-122.48155602","37.76343794","-122.48230738","37.76340475","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.481556025 37.76343794, -122.482307383 37.763404748)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Sunset/Parkside","4"
"1877952","581142",,"25","14","58114","581","NORIEGA ST","N","Even","R","1400","1498","-122.47879501","37.75423557","-122.47949205","37.75420439","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.478795011 37.754235566, -122.479492054 37.754204385)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Sunset/Parkside","4"
"1876926","334182","Pilot","5","18","33418","334","BUCHANAN ST","E","Even","R","1800","1898","-122.42993764","37.78663649","-122.43002615","37.78707403","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","5","LINESTRING (-122.429937638 37.786636492, -122.430026152 37.787074029)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Pacific Heights","5"
"1878953","371001","Pilot","2","0","37100","371","CLARENCE PL","SW","Odd","L","1","49","-122.39228445","37.77939639","-122.39270556","37.77973558","2012-05-09 12:55:12-07:00","2013-01-16 03:53:20-08:00","Randy","SQL Dev-Add PMD","2","LINESTRING (-122.39228445 37.779396388, -122.392705557 37.779735579)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","6"
"1877239","206011",,"14","1","20601","206","06TH ST","NE","Odd","L","101","199","-122.40851841","37.78094448","-122.40725508","37.77993663","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.408518407 37.780944478, -122.407255079 37.779936632)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1879436","471122",,"14","12","47112","471","HARRISON ST","NW","Even","R","1200","1298","-122.40872003","37.77372842","-122.41003934","37.77268506","2023-11-02 04:11:32-07:00","2023-11-02 06:43:16-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.408720027 37.773728419, -122.410039336 37.772685063)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1879070","869081","Pilot","2","8","86908","869","TERRY A FRANCOIS BLVD","SE","Odd","L","801","899","-122.38674368","37.76548416","-122.38785948","37.76437096","2014-03-23 12:46:29-07:00","2014-03-23 12:47:19-07:00","OpenGeoUser","OpenGeo - blockfaces.html","2","LINESTRING (-122.386743677 37.765484157, -122.387669039 37.764411252, -122.387859476 37.764370965)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Mission Bay, Potrero Hill","6, 10"
"1877191","201012","Pilot","1","1","20101","201","01ST ST","SW","Even","R","136","164","-122.39701971","37.78923255","-122.39669785","37.78897506","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","2","LINESTRING (-122.397019714 37.789232549, -122.396697848 37.788975055)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","6"
"1876907","204062","Pilot","2","6","20406","204","04TH ST","SW","Even","R","600","648","-122.39619191","37.77794307","-122.39600282","37.7777932","2011-02-11 02:57:05-08:00","2012-06-14 07:13:23-07:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","2","LINESTRING (-122.396191913 37.77794307, -122.396002816 37.777793201)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1878436","865021","Pilot","1","2","86502","865","STEUART ST","SW","Even","L","201","249","-122.39147455","37.79195132","-122.39132871","37.79183062","2011-02-11 02:57:05-08:00","2025-02-24 05:02:01-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","2","LINESTRING (-122.391474552 37.791951318, -122.391328706 37.791830618)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","6"
"1877293","680061",,"26","6","68006","680","TARAVAL ST","S","Odd","L","601","699","-122.47261617","37.74310199","-122.47340877","37.74306779","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.472616174 37.743101992, -122.473408771 37.743067793)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","West of Twin Peaks","7"
"1878819","221323","Pilot","4","32","22132","221","21ST ST","S","Odd","L","3251","3299","-122.4209475","37.75686582","-122.42014082","37.7569141","2011-03-15 05:58:40-07:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","4","LINESTRING (-122.420947495 37.756865822, -122.420140817 37.756914102)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Mission","9"
"1879493","822011",,"44","1","82201","822","22ND ST","S","Odd","L","101","199","-122.38276328","37.7581389","-122.38191034","37.75817707","2024-05-07 03:30:04-07:00","2024-05-14 08:11:58-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.382763279 37.758138897, -122.381910336 37.758177067)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Potrero Hill","10"
"1876658","520061","Pilot","1","6","52006","520","KEARNY ST","W","Odd","L","601","699","-122.4047244","37.7937075","-122.40486019","37.79436632","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.404724402 37.793707504, -122.404860189 37.794366325)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1877456","616042","Pilot","1","4","61604","616","POWELL ST","E","Even","R","400","498","-122.40837558","37.78846912","-122.40849326","37.78904245","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.408375578 37.788469121, -122.408493261 37.789042446)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1879308","540021",,"3","2","54002","540","LAGUNA ST","W","Odd","L","201","298","-122.42577921","37.77358027","-122.42563168","37.77285095","2022-10-26 04:20:39-07:00","2022-10-26 04:20:39-07:00","OpenGeoUser","OpenGeo - blockfaces.html","3","LINESTRING (-122.425779206 37.773580274, -122.425631685 37.772850949)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Hayes Valley","5"
"1878580","568141",,"14","14","56814","568","MISSION ST","SE","Odd","L","1401","1499","-122.41602394","37.77507846","-122.4167592","37.77449608","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.416023939 37.775078455, -122.416759203 37.774496077)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1878703","582001","Pilot","1","0","58200","582","NEW MONTGOMERY ST","NE","Odd","L","1","99","-122.40181352","37.78859586","-122.40076041","37.78773587","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","2","LINESTRING (-122.401813518 37.788595856, -122.40076041 37.787735868)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","6"
"1879346","471112",,"14","11","47111","471","HARRISON ST","NW","Even","R","1100","1198","-122.40653552","37.77545749","-122.40850248","37.77390177","2023-08-29 03:49:15-07:00","2023-11-02 04:11:32-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.406535523 37.775457489, -122.40850248 37.773901774)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1879292","334012",,"16","1","33401","334","BUCHANAN ST","E","Even","R","102","198","-122.42688636","37.77151677","-122.42676626","37.77075622","2022-10-31 00:59:52-07:00","2022-11-01 02:36:01-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.426886362 37.771516766, -122.426766259 37.770756222)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Hayes Valley","8"
"1877640","219402",,"16","40","21940","219","19TH ST","N","Even","R","4046","4098","-122.43445283","37.759360290000004","-122.43464392999999","37.75934822","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.434452826 37.75936029, -122.434643935 37.75934822)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Castro/Upper Market","8"
"1877521","703002","Control","10","0","70300","703","VICENTE ST","NE","Even","R","2","56","-122.46637799","37.73945584","-122.46675317","37.73967512","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.466377992 37.739455844, -122.466753168 37.739675116)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","West of Twin Peaks","7"
"1877798","568352",,"29","35","56835","568","MISSION ST","NW","Even","R","3500","3558","-122.4232247","37.74059344","-122.42349326","37.74018306","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.423224703 37.740593442, -122.423493261 37.740183062)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Bernal Heights","9"
"1879142","493132",,"44","13","49313","493","ILLINOIS ST","W","Even","R","1300","1398","-122.38714467","37.75536621","-122.38703478","37.75426168","2018-07-15 08:08:03-07:00","2018-07-25 04:09:44-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.387144666 37.755366211, -122.387034778 37.754261678)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Potrero Hill","10"
"1877148","321341",,"22","34","32134","321","BALBOA ST","S","Odd","L","3401","3499","-122.49531784","37.77573828","-122.49604506","37.77570509","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.495317843 37.775738282, -122.496045061 37.77570509)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Outer Richmond","1"
"1878988","415314","Pilot","7","31","41531","415","FILLMORE ST","E","Even","R","3150","3198","-122.43578153","37.79886944","-122.43571917","37.79855763","2011-03-15 05:58:40-07:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","7","LINESTRING (-122.435781533 37.798869443, -122.435719171 37.798557634)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Marina","2"
"1878501","701161",,"15","16","70116","701","VAN NESS AVE","W","Odd","L","1601","1699","-122.42251961","37.79050694","-122.42263327","37.79106719","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.422519614 37.79050694, -122.422633273 37.79106719)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Pacific Heights","2"
"1878546","440121",,"15","12","44012","440","GEARY BLVD","S","Odd","L","1201","1289","-122.42351036","37.78536009","-122.42408369","37.78532388","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.42351036 37.785360089, -122.423779924 37.785326896, -122.424083685 37.785323878)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Western Addition","2"
"1876872","650242","Pilot","5","24","65024","650","SACRAMENTO ST","N","Even","R","2400","2498","-122.43256588","37.79007544","-122.43390968","37.78990545","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","5","LINESTRING (-122.432565882 37.790075438, -122.433909676 37.789905452)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Pacific Heights","2"
"1877699","304022",,"15","2","30402","304","AUSTIN ST","N","Even","R","200","298","-122.42265741","37.78890666","-122.42356568","37.78879099","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.422657413 37.788906659, -122.423565681 37.788790988)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Western Addition","2"
"1877985","618041",,"19","4","61804","618","PRESIDIO AVE","W","Odd","R","401","499","-122.44702474","37.78803661","-122.44697747","37.78780125","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.447024744 37.788036612, -122.446977469 37.787801247)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Presidio Heights","2"
"1877680","664022","Pilot","1","2","66402","664","STOCKTON ST","E","Even","R","200","298","-122.40654798","37.78768356","-122.40668377","37.78835848","2011-02-11 02:57:05-08:00","2011-12-14 06:11:08-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.406547978 37.787683565, -122.406683766 37.788358479)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1878409","585011","Pilot","6","1","58501","585","NORTH POINT ST","S","Odd","L","101","199","-122.40905854","37.80707504","-122.40959968","37.80700664","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","6","LINESTRING (-122.40905854 37.807075035, -122.409599678 37.807006639)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","North Beach","3"
"1876848","612152",,"15","15","61215","612","POLK ST","E","Even","R","1500","1598","-122.42064408","37.79075171","-122.4207765","37.79140716","2011-02-11 02:57:05-08:00","2018-10-16 04:35:36-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.420644079 37.790751712, -122.420776504 37.791407162)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Nob Hill","3"
"1876364","664141",,"12","14","66414","664","STOCKTON ST","W","Odd","L","1401","1433","-122.40890163","37.79869644","-122.40896399","37.79899819","2011-02-11 02:57:05-08:00","2011-12-14 06:11:06-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.408901629 37.798696439, -122.408963991 37.798998189)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1877072","324091",,"12","9","32409","324","BATTERY ST","W","Odd","L","901","999","-122.40134882","37.799655","-122.40148964","37.80035506","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.401348823 37.799654999, -122.40148964 37.800355059)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Financial District/South Beach","3"
"1878042","719001","Pilot","1","0","71900","719","WALTER U LUM PL","S","Odd","L","1","99","-122.40578254","37.79459767","-122.40583484","37.79487729","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.405782539 37.794597666, -122.405834842 37.794877288)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1877250","701232",,"15","23","70123","701","VAN NESS AVE","E","Even","R","2300","2398","-122.42347314","37.79683967","-122.42349628","37.79695534","2011-02-11 02:57:05-08:00","2011-12-14 06:11:07-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.423473144 37.79683967, -122.423496278 37.796955341)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Russian Hill","3"
"1878774","363051",,"12","5","36305","363","COLUMBUS AVE","SW","Odd","L","501","599","-122.40933514","37.79960471","-122.41013679","37.80015792","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.409335144 37.799604707, -122.410136793 37.800157916)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1878327","500081",,"12","8","50008","500","JACKSON ST","S","Odd","L","801","899","-122.40843593","37.79576041","-122.4097073","37.79560048","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.408435928 37.79576041, -122.409707302 37.795600483)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1878519","359171",,"15","17","35917","359","CLAY ST","S","Odd","L","1701","1799","-122.42117984","37.79231342","-122.42237477","37.79216154","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.421179843 37.792313418, -122.422374774 37.792161537)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Nob Hill","3"
"1878721","500053","Pilot","1","5","50005","500","JACKSON ST","S","Odd","L","531","599","-122.40454737","37.79624522","-122.40498793","37.7961899","2011-03-15 05:58:40-07:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","1","LINESTRING (-122.404547375 37.796245222, -122.40498793 37.796189901)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Chinatown","3"
"1878677","681011",,"13","1","68101","681","TAYLOR ST","W","Odd","L","101","199","-122.41088312","37.78337256","-122.41100583","37.78397606","2011-02-11 02:57:05-08:00","2011-12-14 06:11:10-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","0","LINESTRING (-122.410883122 37.783372561, -122.411005834 37.783976061)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Tenderloin","5"
"1878281","330042","Pilot","2","4","33004","330","BRANNAN ST","NW","Even","R","400","498","-122.39448196","37.78006188","-122.39646852","37.77849226","2011-02-11 02:57:05-08:00","2011-12-14 06:11:09-08:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","2","LINESTRING (-122.394481957 37.780061878, -122.396468517 37.778492255)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1877589","330081",,"42","8","33008","330","BRANNAN ST","SE","Odd","L","801","899","-122.40332831","37.77283252","-122.40520217","37.77136391","2011-02-11 02:57:05-08:00","2018-01-25 00:17:38-08:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.403328313 37.772832519, -122.405202173 37.771363911)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","South of Market","6"
"1879377","306211",,"42","21","30621","306","ALAMEDA ST","S","Odd","L","2101","2199","-122.40669998","37.76839309","-122.40594494","37.76843867","2021-08-06 00:45:50-07:00","2021-08-06 00:45:50-07:00","OpenGeoUser","OpenGeo - blockfaces.html","0","LINESTRING (-122.406699983 37.768393088, -122.405944941 37.768438674)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Mission","6"
"1879275","605001","Pilot","3","0","60500","605","PAGE ST","S","Odd","L","47","99","-122.42122611","37.77418125","-122.4222068","37.77405653","2011-02-11 02:57:05-08:00","2022-09-22 04:35:35-07:00","Randy","SQL Dev-Init. NEIGHBORHOOD_ID","3","LINESTRING (-122.421226111 37.774181251, -122.422206799 37.774056528)","2026 Jul 11 02:13:39 AM","2026 Jul 11 10:30:56 AM","Hayes Valley","6"
